# ----------------------------------------;;;;;;
# Reports snapshot;;;;;;
# Account: Acme.ai;;;;;;
# Property: hello-history;;;;;;
# ----------------------------------------;;;;;;
#  ;;;;;;
# Start date: 20230101;;;;;;
# End date: 20250306;;;;;;
Nth day;Active users;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
416;576;;;;;
417;591;;;;;
418;541;;;;;
419;497;;;;;
420;515;;;;;
421;484;;;;;
422;654;;;;;
423;658;;;;;
424;660;;;;;
425;600;;;;;
426;453;;;;;
427;461;;;;;
428;592;;;;;
429;619;;;;;
430;540;;;;;
431;620;;;;;
432;528;;;;;
433;347;;;;;
434;410;;;;;
435;537;;;;;
436;624;;;;;
437;656;;;;;
438;666;;;;;
439;536;;;;;
440;416;;;;;
441;498;;;;;
442;594;;;;;
443;578;;;;;
444;550;;;;;
445;564;;;;;
446;503;;;;;
447;390;;;;;
448;314;;;;;
449;488;;;;;
450;484;;;;;
451;464;;;;;
452;460;;;;;
453;393;;;;;
454;311;;;;;
455;320;;;;;
456;403;;;;;
457;435;;;;;
458;444;;;;;
459;463;;;;;
460;391;;;;;
461;319;;;;;
462;359;;;;;
463;437;;;;;
464;508;;;;;
465;418;;;;;
466;460;;;;;
467;428;;;;;
468;334;;;;;
469;353;;;;;
470;514;;;;;
471;552;;;;;
472;519;;;;;
473;465;;;;;
474;502;;;;;
475;408;;;;;
476;418;;;;;
477;531;;;;;
478;556;;;;;
479;660;;;;;
480;584;;;;;
481;507;;;;;
482;457;;;;;
483;422;;;;;
484;554;;;;;
485;462;;;;;
486;513;;;;;
487;600;;;;;
488;481;;;;;
489;399;;;;;
490;470;;;;;
491;519;;;;;
492;550;;;;;
493;513;;;;;
494;486;;;;;
495;408;;;;;
496;375;;;;;
497;441;;;;;
498;529;;;;;
499;513;;;;;
500;522;;;;;
501;517;;;;;
502;454;;;;;
503;369;;;;;
504;402;;;;;
505;554;;;;;
506;567;;;;;
507;490;;;;;
508;498;;;;;
509;389;;;;;
510;375;;;;;
511;428;;;;;
512;440;;;;;
513;637;;;;;
514;594;;;;;
515;494;;;;;
516;403;;;;;
517;359;;;;;
518;388;;;;;
519;447;;;;;
520;576;;;;;
521;559;;;;;
522;563;;;;;
523;390;;;;;
524;330;;;;;
525;338;;;;;
526;504;;;;;
527;506;;;;;
528;452;;;;;
529;456;;;;;
530;376;;;;;
531;345;;;;;
532;518;;;;;
533;481;;;;;
534;503;;;;;
535;456;;;;;
536;408;;;;;
537;433;;;;;
538;336;;;;;
539;372;;;;;
540;365;;;;;
541;378;;;;;
542;383;;;;;
543;334;;;;;
544;334;;;;;
545;360;;;;;
546;387;;;;;
547;1012;;;;;
548;434;;;;;
549;429;;;;;
550;371;;;;;
551;358;;;;;
552;333;;;;;
553;308;;;;;
554;336;;;;;
555;378;;;;;
556;414;;;;;
557;402;;;;;
558;326;;;;;
559;304;;;;;
560;274;;;;;
561;319;;;;;
562;312;;;;;
563;353;;;;;
564;319;;;;;
565;346;;;;;
566;263;;;;;
567;267;;;;;
568;308;;;;;
569;297;;;;;
570;314;;;;;
571;316;;;;;
572;296;;;;;
573;294;;;;;
574;270;;;;;
575;304;;;;;
576;330;;;;;
577;290;;;;;
578;335;;;;;
579;305;;;;;
580;239;;;;;
581;242;;;;;
582;387;;;;;
583;494;;;;;
584;319;;;;;
585;287;;;;;
586;266;;;;;
587;283;;;;;
588;243;;;;;
589;279;;;;;
590;344;;;;;
591;265;;;;;
592;274;;;;;
593;281;;;;;
594;253;;;;;
595;236;;;;;
596;289;;;;;
597;327;;;;;
598;354;;;;;
599;342;;;;;
600;298;;;;;
601;236;;;;;
602;268;;;;;
603;294;;;;;
604;374;;;;;
605;357;;;;;
606;372;;;;;
607;267;;;;;
608;249;;;;;
609;266;;;;;
610;273;;;;;
611;447;;;;;
612;338;;;;;
613;324;;;;;
614;348;;;;;
615;251;;;;;
616;319;;;;;
617;369;;;;;
618;362;;;;;
619;419;;;;;
620;348;;;;;
621;327;;;;;
622;212;;;;;
623;257;;;;;
624;286;;;;;
625;342;;;;;
626;363;;;;;
627;368;;;;;
628;265;;;;;
629;236;;;;;
630;278;;;;;
631;315;;;;;
632;416;;;;;
633;391;;;;;
634;379;;;;;
635;282;;;;;
636;242;;;;;
637;276;;;;;
638;376;;;;;
639;332;;;;;
640;299;;;;;
641;400;;;;;
642;420;;;;;
643;272;;;;;
644;267;;;;;
645;370;;;;;
646;441;;;;;
647;495;;;;;
648;485;;;;;
649;326;;;;;
650;316;;;;;
651;312;;;;;
652;341;;;;;
653;387;;;;;
654;365;;;;;
655;444;;;;;
656;591;;;;;
657;261;;;;;
658;315;;;;;
659;615;;;;;
660;451;;;;;
661;355;;;;;
662;375;;;;;
663;294;;;;;
664;271;;;;;
665;268;;;;;
666;368;;;;;
667;401;;;;;
668;321;;;;;
669;267;;;;;
670;289;;;;;
671;241;;;;;
672;263;;;;;
673;364;;;;;
674;330;;;;;
675;370;;;;;
676;324;;;;;
677;355;;;;;
678;215;;;;;
679;310;;;;;
680;369;;;;;
681;340;;;;;
682;297;;;;;
683;328;;;;;
684;322;;;;;
685;257;;;;;
686;241;;;;;
687;330;;;;;
688;354;;;;;
689;354;;;;;
690;376;;;;;
691;346;;;;;
692;237;;;;;
693;249;;;;;
694;321;;;;;
695;272;;;;;
696;272;;;;;
697;244;;;;;
698;255;;;;;
699;227;;;;;
700;230;;;;;
701;287;;;;;
702;366;;;;;
703;330;;;;;
704;330;;;;;
705;301;;;;;
706;219;;;;;
707;251;;;;;
708;255;;;;;
709;324;;;;;
710;283;;;;;
711;257;;;;;
712;236;;;;;
713;225;;;;;
714;258;;;;;
715;280;;;;;
716;292;;;;;
717;235;;;;;
718;246;;;;;
719;226;;;;;
720;216;;;;;
721;187;;;;;
722;204;;;;;
723;200;;;;;
724;201;;;;;
725;198;;;;;
726;171;;;;;
727;163;;;;;
728;177;;;;;
729;191;;;;;
730;192;;;;;
731;181;;;;;
732;181;;;;;
733;207;;;;;
734;196;;;;;
735;180;;;;;
736;235;;;;;
737;227;;;;;
738;212;;;;;
739;234;;;;;
740;218;;;;;
741;222;;;;;
742;189;;;;;
743;206;;;;;
744;246;;;;;
745;275;;;;;
746;308;;;;;
747;207;;;;;
748;234;;;;;
749;254;;;;;
750;286;;;;;
751;244;;;;;
752;273;;;;;
753;358;;;;;
754;314;;;;;
755;214;;;;;
756;202;;;;;
757;303;;;;;
758;307;;;;;
759;270;;;;;
760;398;;;;;
761;254;;;;;
762;205;;;;;
763;194;;;;;
764;253;;;;;
765;332;;;;;
766;324;;;;;
767;252;;;;;
768;361;;;;;
769;193;;;;;
770;186;;;;;
771;313;;;;;
772;326;;;;;
773;372;;;;;
774;318;;;;;
775;296;;;;;
776;193;;;;;
777;233;;;;;
778;233;;;;;
779;305;;;;;
780;255;;;;;
781;263;;;;;
782;223;;;;;
783;218;;;;;
784;196;;;;;
785;238;;;;;
786;300;;;;;
787;371;;;;;
788;259;;;;;
789;248;;;;;
790;177;;;;;
791;205;;;;;
792;211;;;;;
793;293;;;;;
794;270;;;;;
795;1;;;;;
